slide_id,Y,Y_hat,p_0,p_1
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,0.0,1.0,0.48240092396736145,0.5175990462303162
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0.0,1.0,0.36394667625427246,0.6360533237457275
TCGA-A2-A0CP-01Z-00-DX1.ECFD263C-BB17-4ADA-8F2C-654C2AA4C45F,1.0,0.0,0.8209435343742371,0.17905645072460175
TCGA-A2-A0CS-01Z-00-DX1.3986B545-63E8-4727-BCC1-701DE947D1FB,1.0,1.0,0.20080965757369995,0.7991903424263
TCGA-A2-A0CW-01Z-00-DX1.8E313A22-B0E8-44CF-ADEA-8BF29BA23FFE,0.0,0.0,0.6763395667076111,0.3236604332923889
TCGA-A2-A0D4-01Z-00-DX1.35E43827-DABC-4685-A62A-333672923349,0.0,0.0,0.8080236911773682,0.19197632372379303
TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0.0,1.0,0.3038294315338135,0.6961706280708313
TCGA-A2-A0T6-01Z-00-DX1.207A3883-5B41-40EB-95A1-D64C9610650B,1.0,0.0,0.745025098323822,0.254974901676178
TCGA-A2-A0YG-01Z-00-DX1.89A39319-F880-47DE-B311-DA1F6A64B6F3,0.0,0.0,0.5540181398391724,0.44598183035850525
TCGA-A2-A0YK-01Z-00-DX1.FB23FC30-B3B2-452A-A6B0-94129B333207,0.0,0.0,0.9317964315414429,0.06820359081029892
TCGA-A2-A25D-01Z-00-DX1.41DADDB8-3E3F-4F8F-8BE7-C43F8FBCFD2B,0.0,0.0,0.8382748365402222,0.16172511875629425
TCGA-A2-A3KC-01Z-00-DX1.2532878B-49E2-48D5-82D5-00730C90EEF8,0.0,0.0,0.9530659317970276,0.0469341017305851
TCGA-A2-A3XU-01Z-00-DX1.174A92D4-50B2-4A59-AD31-D5EC5BBF2F65,0.0,1.0,0.49176767468452454,0.5082323551177979
TCGA-A2-A3XY-01Z-00-DX1.E57FC9BF-411E-4028-AC10-8BCA5D0C8472,0.0,1.0,0.34941306710243225,0.6505869030952454
TCGA-A7-A0CG-01Z-00-DX2.81138E90-373A-4C12-B9CA-6EEF5F84A5B5,0.0,0.0,0.8892689347267151,0.1107310801744461
TCGA-A7-A0CG-01Z-00-DX1.D77019C2-96B1-4EF5-A61E-5F2D5B8D9852,0.0,0.0,0.8105833530426025,0.18941661715507507
TCGA-A7-A26H-01Z-00-DX1.3344CFD3-5A19-4B01-BEB2-AB89F83FD53A,0.0,1.0,0.38036710023880005,0.6196328997612
TCGA-A7-A3IZ-01Z-00-DX1.7437130B-DF49-40C8-ABCD-FF9364B9B1B0,0.0,0.0,0.9239510297775269,0.07604894042015076
TCGA-A7-A6VW-01Z-00-DX1.1BC4790C-DB45-4A3D-9C97-92C92C03FF60,1.0,1.0,0.1913985162973404,0.8086014986038208
TCGA-A8-A07I-01Z-00-DX1.37E7BB2E-8210-4216-B75F-0FD06D6C9AE3,0.0,0.0,0.5578655004501343,0.4421345293521881
TCGA-A8-A08L-01Z-00-DX1.0FC652B1-336D-4198-93FE-58D2214866D3,0.0,1.0,0.3688795268535614,0.631120502948761
TCGA-A8-A094-01Z-00-DX1.6750B72A-FEC7-49FA-8520-FCF101CA59AC,1.0,1.0,0.42302632331848145,0.5769736766815186
TCGA-A8-A097-01Z-00-DX1.4D06990E-E759-40F0-9106-59408CF350E5,0.0,0.0,0.7333006262779236,0.26669934391975403
TCGA-A8-A09B-01Z-00-DX1.97CCDA89-AB73-4F05-A900-668160227B78,0.0,0.0,0.7423102855682373,0.2576897442340851
TCGA-A8-A09V-01Z-00-DX1.2D6731CA-5712-4EB8-8602-E53301BF4238,0.0,0.0,0.8705134391784668,0.1294865608215332
TCGA-A8-A09W-01Z-00-DX1.BF33B0F9-5786-4682-B59E-DCBD33D7BB03,0.0,1.0,0.4872647225856781,0.5127353072166443
TCGA-AC-A2BM-01Z-00-DX1.162A9FA9-6E61-48BF-B0A5-C6C7640ABD9B,0.0,0.0,0.7621463537216187,0.23785369098186493
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60,0.0,0.0,0.9226548075675964,0.07734516263008118
TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0.0,1.0,0.4933429956436157,0.5066569447517395
TCGA-AN-A0XP-01Z-00-DX1.A4EE3970-5C1F-482E-9AED-F1E3C52A776F,0.0,1.0,0.19147145748138428,0.8085285425186157
TCGA-AO-A0JF-01Z-00-DX1.3277D13C-F257-4D4C-AB5C-BEBA2E1A63D8,0.0,0.0,0.7256664633750916,0.27433350682258606
TCGA-AO-A128-01Z-00-DX1.4E6BFFBC-87AD-4ED4-959D-FEB5545400BE,0.0,0.0,0.6129640340805054,0.387035995721817
TCGA-AO-A12B-01Z-00-DX1.B215230B-5FF7-4B0A-9C1E-5F1658534B11,0.0,0.0,0.8152517676353455,0.18474824726581573
